"ID","TableName","No. Of Outputs","PRE/POST","Cache Tables","Uncache Tables","Save Table","AutoBroadcastJoinThreshold","ShufflePartitions","Ad Hoc Propeties","Transformation Type","Transformation Name","Insert Type","inputTableNames"
"WM_0","HIVE_PREPARATION_SCHEMA_NAME.qualifier_SQ_SALES_0","1","PRE",,,"YES",,,,"Source Qualifier","SALES","OVERRIDE",""
"WM_0","HIVE_PREPARATION_SCHEMA_NAME.qualifier_SQ_SALES_0","1","POST",,,"YES",,,,"Source Qualifier","SALES","OVERRIDE",""
"WM_1","HIVE_PREPARATION_SCHEMA_NAME.Exp_SALES_out_1_0","1","PRE",,,"YES",,,,"Expression","Exp_SALES","OVERRIDE","SQ_SALES"
"WM_1","HIVE_PREPARATION_SCHEMA_NAME.Exp_SALES_out_1_0","1","POST",,,"YES",,,,"Expression","Exp_SALES","OVERRIDE","SQ_SALES"
"WM_2","HIVE_PREPARATION_SCHEMA_NAME.qualifier_SQ_CCO_0","1","PRE",,,"YES",,,,"Source Qualifier","CCO","OVERRIDE",""
"WM_2","HIVE_PREPARATION_SCHEMA_NAME.qualifier_SQ_CCO_0","1","POST",,,"YES",,,,"Source Qualifier","CCO","OVERRIDE",""
"WM_3","HIVE_PREPARATION_SCHEMA_NAME.Exp_CCO_out_1_0","1","PRE",,,"YES",,,,"Expression","Exp_CCO","OVERRIDE","SQ_CCO"
"WM_3","HIVE_PREPARATION_SCHEMA_NAME.Exp_CCO_out_1_0","1","POST",,,"YES",,,,"Expression","Exp_CCO","OVERRIDE","SQ_CCO"
"WM_4","HIVE_PREPARATION_SCHEMA_NAME.Jnr_CCO_Sales_out_1_0","2","PRE",,,"YES",,,,"Joiner","Joiner","OVERRIDE","Exp_CCO,Exp_SALES"
"WM_4","HIVE_PREPARATION_SCHEMA_NAME.Jnr_CCO_Sales_out_1_0","2","POST",,,"YES",,,,"Joiner","Joiner","OVERRIDE","Exp_CCO,Exp_SALES"
"WM_5","HIVE_PREPARATION_SCHEMA_NAME.Lkp_Date_Dim_out_1_0","1","PRE",,,"YES",,,,"Lookup Procedure","Lkp_Date_Dim","OVERRIDE","Jnr_CCO_Sales"
"WM_5","HIVE_PREPARATION_SCHEMA_NAME.Lkp_Date_Dim_out_1_0","1","POST",,,"YES",,,,"Lookup Procedure","Lkp_Date_Dim","OVERRIDE","Jnr_CCO_Sales"
"WM_6","HIVE_PREPARATION_SCHEMA_NAME.Exp_CCO_Sales_data_out_1_0","1","PRE",,,"YES",,,,"Expression","Exp_CCO_Sales_data","OVERRIDE","Jnr_CCO_Sales,Lkp_Date_Dim"
"WM_6","HIVE_PREPARATION_SCHEMA_NAME.Exp_CCO_Sales_data_out_1_0","1","POST",,,"YES",,,,"Expression","Exp_CCO_Sales_data","OVERRIDE","Jnr_CCO_Sales,Lkp_Date_Dim"
"WM_7","INFORMATICA_DATABASE.CCO_SALES_FACT","0","PRE",,,"YES",,,,"Target","CCO_SALES_FACT","OVERRIDE","Exp_CCO_Sales_data"
"WM_7","INFORMATICA_DATABASE.CCO_SALES_FACT","0","POST",,,"YES",,,,"Target","CCO_SALES_FACT","OVERRIDE","Exp_CCO_Sales_data"
